AGE,female,married,educ_cat,faminc_mid,metro_binary,race_cat,us_citizen,has_children,insured,OCC,IND,INCWAGE,FIRMSIZE,NCHILD,YEAR,STATEFIP,worker_cat,employed
23,0,0,4,55000,0,White,1,0,1,2205,7870,55000,9,0,2020,23,Part-time,1
30,1,0,4,22500,0,White,1,0,1,3602,8290,47200,5,0,2020,23,Private for-profit,1
23,0,0,4,200000,0,Asian,1,0,1,9130,8680,2000,1,0,2020,23,Part-time,1
30,0,1,4,87500,0,Other,1,1,1,3870,9590,85000,9,1,2020,23,Government,1
29,1,1,4,87500,0,White,1,1,1,2360,7890,20000,1,1,2020,23,Part-time,1
22,0,0,4,22500,0,White,1,0,1,9620,7580,18565,1,0,2020,23,Private for-profit,1
27,0,1,4,67500,0,White,1,1,1,2310,7860,42000,5,1,2020,23,Government,1
27,1,0,5,67500,1,White,1,0,1,2310,7860,42000,9,0,2020,23,Government,1
25,1,0,5,200000,1,White,1,0,1,2100,9470,58000,9,0,2020,23,Government,1
27,1,0,4,87500,1,White,1,0,1,3255,8192,64000,7,0,2020,23,Private for-profit,1
29,1,1,4,200000,1,White,1,1,1,3160,8170,60000,7,1,2020,23,Part-time,1
30,0,0,4,125000,1,White,1,0,1,1840,9490,50000,9,0,2020,23,Government,1
30,1,0,5,125000,1,White,1,0,1,710,9170,105000,8,0,2020,23,Private for-profit,1
27,1,1,4,125000,1,Asian,1,0,1,1021,3380,59000,2,0,2020,23,Private for-profit,1
29,0,0,4,200000,1,White,1,0,1,440,7460,0,1,0,2020,23,Part-time,1
25,1,0,4,125000,1,White,1,0,1,5240,4380,35000,8,0,2020,23,Private for-profit,1
28,0,0,4,125000,1,White,1,0,1,705,7890,70000,7,0,2020,23,Private for-profit,1
27,1,1,4,67500,1,White,1,0,1,910,7870,35000,8,0,2020,23,Private for-profit,1
26,1,0,5,87500,1,White,1,0,1,3230,8470,63000,9,0,2020,23,Private for-profit,1
24,1,0,4,87500,1,White,1,0,1,3255,8191,60000,9,0,2020,23,Private for-profit,1
22,0,0,4,125000,1,White,1,0,1,3255,8191,0,0,0,2020,23,Private for-profit,1
23,0,0,4,125000,1,White,1,0,1,3640,7980,13696,5,0,2020,23,Private for-profit,1
29,1,1,4,125000,1,White,1,1,1,3255,7970,84900,9,1,2020,23,Private for-profit,1
28,0,1,4,125000,1,White,1,1,1,3740,9470,78000,5,1,2020,23,Government,1
23,0,0,4,22500,0,Asian,1,0,1,4110,8680,7000,2,0,2020,33,Unemployed,0
29,0,0,5,125000,0,White,1,0,0,6050,170,24000,2,0,2020,33,Private for-profit,1
29,1,0,4,45000,0,White,1,0,1,5000,7390,50000,1,0,2020,33,Private for-profit,1
29,0,0,4,125000,0,White,1,0,1,1720,770,65000,9,0,2020,33,Government,1
28,1,0,5,32500,0,White,1,0,1,2205,7870,36000,7,0,2020,33,Private for-profit,1
25,1,0,4,87500,0,White,1,0,1,2300,8470,40000,9,0,2020,33,Government,1
