name,country,calories,fat,carbs,protein,avg_rating,prep_time,cook_time,total_time,servings,pct_fat,pct_carbs,pct_protein
Saganaki (Flaming Greek Cheese),Greek,391.0,25.0,15.0,16.0,4.8,10,5,15,2.0,0.5754475703324808,0.1534526854219949,0.1636828644501279
Coney Island Knishes,Jewish,301.0,17.0,31.0,7.0,4.6,30,75,180,16.0,0.5083056478405316,0.4119601328903654,0.09302325581395349
Diana's Hawaiian Bread Rolls,Australian and New Zealander,64.0,3.0,9.0,1.0,4.3,20,15,180,12.0,0.421875,0.5625,0.0625
Chilean Pebre,Chilean,106.0,9.0,7.0,1.0,5.0,10,0,10,6.0,0.7641509433962265,0.2641509433962264,0.03773584905660377
Tex-Mex Sheet Cake,Tex-Mex,449.0,23.0,58.0,7.0,3.8,30,15,45,15.0,0.4610244988864143,0.5167037861915368,0.062360801781737196
Lemon Poppy Seed Amish Friendship Bread,Amish and Mennonite,157.0,6.0,25.0,2.0,4.6,0,0,0,24.0,0.34394904458598724,0.6369426751592356,0.050955414012738856
Pan con Tomate (Spanish Tomato Bread),Spanish,322.0,16.0,39.0,7.0,5.0,5,5,10,1.0,0.4472049689440994,0.484472049689441,0.08695652173913043
"Lomo de Res, Cuban-Style Rib-Eye Steaks",Cuban,389.0,21.0,16.0,28.0,4.4,10,10,50,4.0,0.48586118251928023,0.16452442159383032,0.2879177377892031
Peruvian Chicha Morada Drink,Peruvian,253.0,2.0,63.0,6.0,4.7,10,50,300,10.0,0.07114624505928854,0.9960474308300395,0.09486166007905138
Moo Shu Pork,Chinese,355.0,8.0,53.0,17.0,4.6,15,15,60,8.0,0.2028169014084507,0.5971830985915493,0.19154929577464788
Filipino Lumpia,Filipino,550.0,31.0,43.0,25.0,4.3,60,10,70,6.0,0.5072727272727273,0.31272727272727274,0.18181818181818182
Eggnog Bread Pudding with Coquito Sauce,Puerto Rican,389.0,19.0,49.0,7.0,5.0,10,45,55,10.0,0.43958868894601544,0.5038560411311054,0.07197943444730077
Chicken with Black Beans,Malaysian,231.0,7.0,13.0,29.0,4.3,25,20,55,6.0,0.2727272727272727,0.22510822510822512,0.5021645021645021
Creole Okra,Soul Food,133.0,7.0,14.0,4.0,4.5,10,30,40,4.0,0.47368421052631576,0.42105263157894735,0.12030075187969924
Victor's Non-Dairy Hawaiian Coconut Mochi Cake,Australian and New Zealander,518.0,18.0,86.0,6.0,5.0,10,60,70,12.0,0.3127413127413127,0.6640926640926641,0.04633204633204633
Bistec Encebollado (Cuban Steak and Onions),Cuban,383.0,20.0,13.0,36.0,5.0,10,25,95,4.0,0.4699738903394256,0.13577023498694518,0.37597911227154046
Swedish Hard Tack,Scandinavian,196.0,8.0,27.0,4.0,3.5,30,30,60,12.0,0.3673469387755102,0.5510204081632653,0.08163265306122448
Portuguese Steamed Clams,Portuguese,697.0,53.0,9.0,30.0,4.6,30,20,50,6.0,0.6843615494978479,0.05164992826398852,0.17216642754662842
Israeli Charoset,Israeli,185.0,8.0,29.0,3.0,5.0,15,0,15,10.0,0.3891891891891892,0.6270270270270271,0.06486486486486487
Spicy Potato Noodles (Bataka Sev),Bangladeshi,336.0,18.0,35.0,9.0,4.7,45,40,85,8.0,0.48214285714285715,0.4166666666666667,0.10714285714285714
Double Chocolate Biscotti with Cherries,Italian,152.0,6.0,21.0,3.0,3.3,10,0,80,24.0,0.35526315789473684,0.5526315789473685,0.07894736842105263
Cherry Amish Friendship Bread Cupcakes with Buttercream Frosting,Amish and Mennonite,366.0,20.0,46.0,3.0,4.0,20,20,70,24.0,0.4918032786885246,0.5027322404371585,0.03278688524590164
Beef Pirozhki,Russian,293.0,16.0,22.0,14.0,4.8,45,25,150,15.0,0.49146757679180886,0.3003412969283277,0.19112627986348124
Pique (Puerto Rican Hot Sauce),Puerto Rican,52.0,2.0,7.0,1.0,5.0,15,5,25,16.0,0.34615384615384615,0.5384615384615384,0.07692307692307693
Original Kumla Recipe from Mom,Norwegian,378.0,11.0,37.0,31.0,4.6,60,75,135,25.0,0.2619047619047619,0.3915343915343915,0.328042328042328
Grandma's Authentic Swedish Meatballs,Swedish,437.0,28.0,22.0,23.0,4.3,20,40,60,6.0,0.5766590389016019,0.20137299771167047,0.21052631578947367
Finnish Turnip Casserole,Finnish,176.0,8.0,23.0,4.0,4.5,30,65,95,6.0,0.4090909090909091,0.5227272727272727,0.09090909090909091
Chicharrones de Pollo,Cuban,362.0,12.0,23.0,29.0,4.0,20,20,160,6.0,0.2983425414364641,0.2541436464088398,0.32044198895027626
Carrot Halwa,Indian,288.0,15.0,34.0,7.0,5.0,30,75,105,12.0,0.46875,0.4722222222222222,0.09722222222222222
Amish Blackberry and Strawberry Baked Oatmeal,Amish and Mennonite,337.0,15.0,48.0,4.0,4.4,10,30,40,12.0,0.40059347181008903,0.56973293768546,0.04747774480712166
Ono Butter Mochi,Australian and New Zealander,463.0,14.0,78.0,7.0,4.7,5,60,65,12.0,0.27213822894168466,0.673866090712743,0.06047516198704104
Porotos Granados (Chilean Bean Stew),Chilean,285.0,4.0,53.0,14.0,4.3,15,45,60,6.0,0.12631578947368421,0.743859649122807,0.19649122807017544
Real Homemade Bagels,Jewish,278.0,7.0,56.0,2.0,4.4,30,20,200,6.0,0.22661870503597123,0.8057553956834532,0.02877697841726619
Easy Blini (Russian Pancake),Russian,167.0,7.0,21.0,5.0,4.9,10,15,25,5.0,0.3772455089820359,0.5029940119760479,0.11976047904191617
Traditional Swedish Pancakes,Swedish,314.0,12.0,36.0,14.0,4.7,10,5,15,4.0,0.34394904458598724,0.4585987261146497,0.17834394904458598
Authentic Chinese Egg Rolls (from a Chinese person),Chinese,169.0,7.0,16.0,10.0,4.7,60,30,150,20.0,0.3727810650887574,0.378698224852071,0.23668639053254437
Brazilian Grilled Pineapple,Brazilian,255.0,0.0,66.0,1.0,4.9,10,10,20,6.0,0.0,1.035294117647059,0.01568627450980392
Toum,Lebanese,87.0,9.0,3.0,0.0,4.5,10,0,10,6.0,0.9310344827586207,0.13793103448275862,0.0
Virgin Strawberry Daiquiri,Cuban,287.0,0.0,74.0,0.0,4.3,5,0,5,1.0,0.0,1.0313588850174216,0.0
Best Matzo Balls,Jewish,106.0,6.0,10.0,3.0,4.7,20,25,75,16.0,0.5094339622641509,0.37735849056603776,0.11320754716981132
Panettone,Italian,153.0,6.0,23.0,3.0,4.9,20,40,240,36.0,0.35294117647058826,0.6013071895424836,0.0784313725490196
Pollo Saltado (Peruvian-Style Chicken Stir-Fry),Peruvian,351.0,11.0,37.0,27.0,3.0,20,20,55,4.0,0.28205128205128205,0.42165242165242167,0.3076923076923077
Citrus Ceviche,Peruvian,440.0,29.0,17.0,30.0,4.1,25,15,160,4.0,0.5931818181818181,0.15454545454545454,0.2727272727272727
Ajiaco (Beef and Pepper Stew),Chilean,579.0,24.0,34.0,54.0,4.2,25,35,60,4.0,0.37305699481865284,0.23488773747841105,0.37305699481865284
Butter Mochi Cupcakes,Australian and New Zealander,208.0,10.0,28.0,4.0,5.0,10,35,65,12.0,0.4326923076923077,0.5384615384615384,0.07692307692307693
Canelés de Bordeaux,French,193.0,7.0,27.0,3.0,4.5,20,70,95,12.0,0.32642487046632124,0.5595854922279793,0.06217616580310881
Sausage and Sauerkraut,German,777.0,62.0,29.0,25.0,4.7,15,200,215,5.0,0.7181467181467182,0.1492921492921493,0.1287001287001287
Chicken Ropa Vieja,Cuban,291.0,11.0,11.0,35.0,4.1,40,45,85,4.0,0.3402061855670103,0.15120274914089346,0.48109965635738833
Brazilian Whole Banana Pie,Brazilian,451.0,11.0,83.0,11.0,4.1,20,45,65,12.0,0.21951219512195122,0.7361419068736141,0.0975609756097561
Chilean Empanada,Chilean,530.0,28.0,54.0,16.0,4.2,20,40,70,12.0,0.47547169811320755,0.4075471698113208,0.12075471698113208
Copycat Panda Express Chow Mein,Chinese,492.0,36.0,35.0,8.0,5.0,5,6,11,4.0,0.6585365853658537,0.2845528455284553,0.06504065040650407
Classic Chicken Cordon Bleu,French,584.0,41.0,8.0,42.0,4.8,20,40,60,6.0,0.6318493150684932,0.0547945205479452,0.2876712328767123
Halloumi Cheese Fingers,Greek,299.0,25.0,3.0,18.0,4.7,5,5,10,2.0,0.7525083612040134,0.04013377926421405,0.2408026755852843
Easy and Quick Halushki,Polish,698.0,38.0,69.0,22.0,4.6,10,20,30,6.0,0.4899713467048711,0.3954154727793696,0.12607449856733524
Chicken Makhani (Indian Butter Chicken),Indian,408.0,28.0,16.0,23.0,4.5,10,25,35,4.0,0.6176470588235294,0.1568627450980392,0.22549019607843138
Cha Gio Vietnamese Egg Rolls,Vietnamese,228.0,14.0,14.0,12.0,4.6,45,5,65,12.0,0.5526315789473685,0.24561403508771928,0.21052631578947367
Cretons,Canadian,101.0,6.0,4.0,8.0,4.3,10,70,80,12.0,0.5346534653465347,0.15841584158415842,0.31683168316831684
Zucchini Scarpaccia,Italian,137.0,7.0,13.0,5.0,4.0,30,40,90,12.0,0.45985401459854014,0.3795620437956204,0.145985401459854
Portuguese Soup,Portuguese,537.0,20.0,73.0,21.0,4.0,20,90,110,8.0,0.33519553072625696,0.5437616387337058,0.1564245810055866
Brazilian Cheese Rolls (Pão de Queijo),Brazilian,199.0,12.0,17.0,6.0,4.7,20,15,50,14.0,0.542713567839196,0.3417085427135678,0.12060301507537688
Pastry Cream,French,151.0,6.0,21.0,4.0,4.8,15,10,25,8.0,0.3576158940397351,0.5562913907284768,0.10596026490066225
Andouille and Poblano Quesadillas,Tex-Mex,598.0,36.0,48.0,22.0,4.7,15,25,40,4.0,0.5418060200668896,0.3210702341137124,0.14715719063545152
Down-South Style Green Beans,Soul Food,152.0,11.0,6.0,7.0,4.4,60,120,180,6.0,0.6513157894736842,0.15789473684210525,0.18421052631578946
Fried Sweet Bananas,Brazilian,169.0,6.0,31.0,1.0,4.4,10,5,15,6.0,0.31952662721893493,0.7337278106508875,0.023668639053254437
Saltado de Vainitas (Peruvian Green Beans with Chicken),Peruvian,189.0,5.0,14.0,22.0,4.3,15,25,40,6.0,0.23809523809523808,0.2962962962962963,0.4656084656084656
Alfajores Argentinean Style,Argentinian,157.0,7.0,23.0,1.0,4.4,30,10,80,36.0,0.4012738853503185,0.5859872611464968,0.025477707006369428
Loaded Beef Nachos,Tex-Mex,817.0,46.0,56.0,48.0,4.7,5,10,15,4.0,0.5067319461444308,0.2741738066095471,0.2350061199510404
Aji (Colombian Salsa),Colombian,52.0,4.0,5.0,1.0,4.5,30,0,30,8.0,0.6923076923076923,0.38461538461538464,0.07692307692307693
Honey Walnut Shrimp,Chinese,605.0,26.0,68.0,26.0,4.7,15,20,35,4.0,0.3867768595041322,0.44958677685950416,0.171900826446281
